YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2021,10043,120,49375662,411463.9,2021-12-29
2019,65918,27,3554858,131661.4,2019-12-26
2022,110031,37,4784791,129318.7,2022-09-02
2021,61460,25,3197786,127911.4,2021-12-29
2020,68467,92,8253190,89708.6,2020-12-30
2019,60916,46,10984898,238802.1,2019-12-14
2022,67077,70,12134495,173349.9,2022-12-30
2022,60640,21,8590755,409083.6,2022-12-15
2020,59854,15,1702832,113522.1,2020-11-27
2021,58752,15,1816196,121079.7,2021-04-02
2021,89233,51,5157496,101127.4,2021-12-29
2023,99770,6,1250627,208437.8,2023-06-03
2019,63451,22,2971545,135070.2,2019-12-16
2021,86326,17,5112864,300756.7,2021-09-16
2022,57448,12,2964757,247063.1,2022-12-28
2023,55868,44,7446738,169244.0,2023-12-14
2019,59454,21,2414380,114970.5,2019-08-31
2019,59300,18,8629522,479417.9,2019-12-08
2019,63268,56,10401572,185742.4,2019-12-28
2022,85767,53,16421053,309831.2,2022-12-21
2021,62654,39,2997615,76861.9,2021-12-12
2019,63187,14,2051856,146561.1,2019-12-15
2024,74055,4,512300,128075.0,2024-03-16
2020,80828,12,1881475,156789.6,2020-12-31
2019,61412,3,1132530,377510.0,2019-04-29
2021,86264,17,2361670,138921.8,2021-12-30
2024,69064,1,95400,95400.0,2024-04-28
2019,60093,45,9252896,205619.9,2019-08-20
2021,102505,6,126283,21047.2,2021-12-29
2019,63763,25,8259480,330379.2,2019-12-28
2022,59632,15,3297871,219858.1,2022-12-05
2020,75668,34,10926018,321353.5,2020-12-24
2020,86864,1,257200,257200.0,2020-11-26
2022,75742,31,12947595,417664.4,2022-11-24
2024,117076,2,151500,75750.0,2024-03-16
2023,75098,21,4641793,221037.8,2023-07-24
2022,75983,24,3506674,146111.4,2022-12-23
2019,55859,309,120173989,388912.6,2019-04-27
2021,58215,34,3183125,93621.3,2021-12-31
2018,54004,60,26649149,444152.5,2018-12-30
2020,62273,126,22109323,175470.8,2020-12-30
2023,104198,157,70556847,449406.7,2023-12-31
2020,62299,22,5828406,264927.5,2020-12-19
2023,55811,19,4287787,225673.0,2023-12-25
2021,61656,53,11557826,218072.2,2021-12-31
